,state,county,total_population,total_female,total_male,total_one_race_white,percent_female,percent_white,latitude,longitude,num_households,dollar_household_median_income,numGooglePlaces,avgStarRating,closestClinic_mi,avgNumReviews,poli_align
91,California,Stanislaus,550842,276477,274365,356790,0.5019170651475378,0.6477174943087128,37.562384,-121.002656,175067,68368.0,3.0,0.0,7.77,0.0,democrat
92,California,Sutter,99080,49302,49778,57951,0.4975979006863141,0.5848909971740008,39.035257,-121.702758,32703,67003.0,0.0,,,,democrat
93,California,Tehama,65345,32815,32530,52668,0.5021807330323667,0.805998928762721,40.126156,-122.232276,24551,52901.0,3.0,0.0,33.43,0.0,democrat
94,California,Trinity,15818,7739,8079,13034,0.4892527500316095,0.8239979769882413,40.647724,-123.114404,5492,42206.0,3.0,0.0,67.73,0.0,democrat
95,California,Tulare,470999,234574,236425,279500,0.498035027675218,0.5934195189374075,36.230453,-118.780542,139631,57394.0,3.0,4.1,75.19,204.0,democrat
96,California,Tuolumne,55243,26488,28755,47151,0.4794815632749851,0.8535199029741325,38.021451,-119.964708,23103,66846.0,3.0,0.0,84.51,0.0,democrat
97,California,Ventura,845255,424655,420600,592773,0.5023986844206778,0.7012948755109405,34.358742,-119.133143,274471,94150.0,3.0,4.1,14.85,46.33,democrat
98,California,Yolo,216703,111335,105368,137091,0.5137676912640803,0.6326216065305972,38.679268,-121.903178,75471,78386.0,3.0,0.0,6.77,0.0,democrat
99,California,Yuba,80404,39703,40701,55657,0.4937938411024327,0.6922168051340729,39.270026,-121.34428,26888,62666.0,3.0,0.0,21.56,0.0,democrat
100,Colorado,Adams,514969,253612,261357,365720,0.4924801298718952,0.7101786709491251,39.874325,-104.331872,176880,78304.0,3.0,3.47,42.63,63.67,democrat
101,Colorado,Alamosa,16377,8107,8270,11965,0.4950235085791048,0.7305977895829517,37.568442,-105.788041,6327,46217.0,3.0,3.33,153.48,67.67,democrat
102,Colorado,Arapahoe,651621,326671,324950,437618,0.5013205528980803,0.6715836352726509,39.644632,-104.331733,247251,84947.0,3.0,3.47,39.33,63.67,democrat
103,Colorado,Archuleta,13267,6557,6710,10664,0.4942338132207733,0.8037988995251376,37.202395,-107.050863,5770,62907.0,3.0,3.5,103.77,16.0,democrat
104,Colorado,Baca,3519,1779,1740,3210,0.505541346973572,0.9121909633418585,37.303144,-102.535457,1594,39891.0,3.0,3.17,223.69,79.33,democrat
105,Colorado,Bent,5861,2209,3652,4467,0.3768981402491042,0.7621566285616789,37.931891,-103.077584,1805,40972.0,3.0,3.17,146.02,79.33,democrat
106,Colorado,Boulder,328713,162573,166140,279046,0.494574294293198,0.8489046675975699,40.094826,-105.398382,131701,92466.0,3.0,3.37,13.24,56.67,democrat
107,Colorado,Broomfield,72697,36206,36491,60366,0.4980398090705256,0.8303781449028158,39.953383,-105.052125,29487,107570.0,3.0,3.5,9.76,55.33,democrat
108,Colorado,Chaffee,19436,9362,10074,17880,0.4816834739658366,0.9199423749742746,38.738246,-106.316972,8539,61216.0,3.0,3.83,109.98,70.0,democrat
109,Colorado,Cheyenne,1691,832,859,1490,0.4920165582495565,0.8811354228267297,38.835387,-102.604585,695,69063.0,3.0,3.43,129.87,88.33,democrat
110,Colorado,Clear Creek,9427,4648,4779,8684,0.4930518722817439,0.921183833669248,39.689403,-105.670791,4427,76313.0,3.0,3.3,54.93,53.67,democrat
111,Colorado,Conejos,7579,3759,3820,5651,0.4959757223908167,0.7456128776883494,37.213407,-106.176447,3097,38536.0,3.0,3.87,140.43,58.0,democrat
112,Colorado,Costilla,3517,1648,1869,2453,0.4685811771396076,0.6974694341768553,37.277547,-105.42894,1446,35000.0,3.0,0.0,139.81,0.0,democrat
113,Colorado,Crowley,6018,1979,4039,4528,0.3288467929544699,0.7524094383516118,38.321956,-103.787562,1340,37870.0,3.0,3.17,93.83,79.33,democrat
114,Colorado,Custer,4720,2472,2248,4470,0.523728813559322,0.9470338983050848,38.101994,-105.373515,2124,59877.0,3.0,3.23,79.54,83.67,democrat
115,Colorado,Delta,31133,15469,15664,28539,0.4968682748209295,0.9166800501076028,38.861756,-107.864757,12143,51803.0,3.0,3.63,93.83,13.67,democrat
116,Colorado,Denver,706799,351034,355765,486538,0.4966532210713371,0.6883682631129925,39.761849,-104.880625,313926,78177.0,3.0,3.47,1.86,63.67,democrat
117,Colorado,Dolores,2288,1025,1263,1954,0.4479895104895104,0.8540209790209791,37.747602,-108.530383,1144,62500.0,0.0,,,,democrat
118,Colorado,Douglas,351929,175050,176879,301642,0.4974014644999417,0.8571103830602196,39.326435,-104.926199,127921,127443.0,3.0,3.27,29.45,59.0,democrat
119,Colorado,Eagle,55693,25914,29779,45327,0.4653008457077191,0.8138724794857523,39.630638,-106.692944,19511,91338.0,3.0,3.9,54.43,40.0,democrat
120,Colorado,Elbert,25897,12758,13139,23148,0.4926439355909951,0.8938487083445958,39.310817,-104.117928,9261,114904.0,3.0,3.17,61.95,79.33,democrat
121,Colorado,El Paso,722736,356095,366641,550813,0.4927041132585065,0.7621219919860087,38.827383,-104.527472,270178,75909.0,0.0,,,,democrat
122,Colorado,Fremont,49007,20370,28637,43510,0.4156549064419368,0.8878323504805435,38.455658,-105.421438,17510,53411.0,3.0,3.23,64.62,83.67,democrat
123,Colorado,Garfield,61221,29830,31391,49354,0.4872511066464122,0.8061612845265513,39.599352,-107.90978,21707,77212.0,0.0,,,,democrat
124,Colorado,Gilpin,5812,2738,3074,5374,0.4710942876806607,0.9246386785960082,39.861082,-105.528947,2791,96784.0,3.0,3.37,34.24,56.67,democrat
125,Colorado,Grand,15629,7274,8355,13978,0.4654168532855589,0.8943630430609764,40.123289,-106.095876,5841,69353.0,3.0,0.0,109.36,0.0,democrat
126,Colorado,Gunnison,16851,7589,9262,15609,0.4503590291377366,0.9262951753605128,38.669679,-107.078108,7100,63341.0,3.0,3.77,168.39,64.33,democrat
127,Colorado,Hinsdale,858,469,389,766,0.5466200466200466,0.8927738927738927,37.811625,-107.383405,442,45714.0,3.0,3.37,120.55,48.33,democrat
128,Colorado,Huerfano,6787,3317,3470,5986,0.4887284514513039,0.8819802563724768,37.687815,-104.959928,2744,45724.0,3.0,3.17,103.15,79.33,democrat
129,Colorado,Jackson,1375,635,740,1331,0.4618181818181818,0.968,40.663432,-106.329248,632,44667.0,3.0,0.0,105.01,0.0,democrat
130,Colorado,Jefferson,580130,288867,291263,499171,0.4979349456156379,0.8604467964077017,39.58646,-105.245601,236499,93933.0,3.0,3.53,20.26,90.33,democrat
131,Colorado,Kiowa,1414,723,691,1372,0.5113154172560113,0.9702970297029704,38.388466,-102.75621,584,45476.0,3.0,3.17,146.64,79.33,democrat
132,Colorado,Kit Carson,7071,3434,3637,6071,0.485645594682506,0.8585772875123745,39.30534,-102.603023,2964,52917.0,3.0,3.17,133.59,79.33,democrat
133,Colorado,Lake,7417,3536,3881,5865,0.4767426183092895,0.790750977484158,39.204316,-106.349696,2795,73099.0,3.0,4.03,93.83,29.67,democrat
134,Colorado,La Plata,55673,27671,28002,47635,0.4970272843209455,0.8556212167477951,37.287367,-107.839718,22266,75089.0,0.0,,,,democrat
135,Colorado,Larimer,354670,177185,177485,311544,0.4995770716440635,0.8784052781458821,40.663091,-105.482131,145175,80664.0,3.0,0.0,34.73,0.0,democrat
136,Colorado,Las Animas,14531,6884,7647,11113,0.4737457848737182,0.7647787488817012,37.318831,-104.04411,6410,45118.0,3.0,3.17,157.83,79.33,democrat
137,Colorado,Lincoln,5630,2360,3270,4977,0.4191829484902309,0.8840142095914743,38.99374,-103.507555,1812,46894.0,3.0,3.17,89.48,79.33,democrat
