,state,county,total_population,total_female,total_male,total_one_race_white,percent_female,percent_white,latitude,longitude,num_households,dollar_household_median_income
63,California,Mariposa,17225,8410,8815,14774,0.4882438316400581,0.8577068214804063,37.570034,-119.91286,7588,53304
64,California,Mendocino,91534,46010,45524,70801,0.5026547512399764,0.77349400222868,39.432388,-123.442881,34183,56378
65,California,Merced,279150,137444,141706,128897,0.4923661114096364,0.4617481640694967,37.194806,-120.722802,81618,58861
66,California,Modoc,8723,4335,4388,7416,0.4969620543391035,0.8501662272154076,41.592919,-120.71837,3413,51090
67,California,Mono,13291,6007,7284,10677,0.451959972914002,0.8033255586487097,37.915836,-118.875167,5361,71138
68,California,Monterey,438953,214658,224295,190148,0.48902274275378,0.4331853296366581,36.240107,-121.315573,129977,82013
69,California,Napa,138795,69255,69540,92927,0.4989733059548255,0.6695270002521705,38.507351,-122.325995,48745,97498
70,California,Nevada,102090,51513,50577,92393,0.5045841904202174,0.9050151826819473,39.295191,-120.773446,40877,74617
71,California,Orange,3182923,1604231,1578692,1707592,0.5040118783897694,0.5364854883388633,33.675687,-117.777207,1057592,100485
72,California,Placer,400330,203418,196912,311591,0.50812579621812,0.7783353733170134,39.062032,-120.722718,149714,99734
73,California,Plumas,19631,9718,9913,17401,0.49503336559523203,0.886404156690948,39.99517,-120.829516,8231,57885
74,California,Riverside,2409331,1201934,1207397,1232550,0.49886628279800493,0.5115735446893764,33.729828,-116.002239,740506,76066
75,California,Sacramento,1571767,798959,772808,818588,0.5083189811212476,0.5208074733723256,38.450011,-121.340441,559036,76422
76,California,San Benito,63329,31323,32006,39715,0.49460752577807954,0.6271218557059167,36.610702,-121.085296,19144,95606
77,California,San Bernardino,2171071,1085470,1085601,1101227,0.4999698305582821,0.507227538850641,34.85722,-116.181197,651743,70287
78,California,San Diego,3296317,1628153,1668164,2043229,0.4939309538494022,0.6198520955357145,33.023604,-116.776117,1139899,88240
79,California,San Francisco,865933,422280,443653,376056,0.48765897592538915,0.43427840260158695,37.727239,-123.032229,361222,126187
80,California,San Joaquin,771406,385149,386257,358383,0.49928183083875416,0.4645841489436172,37.935034,-121.272237,234662,74962
81,California,San Luis Obispo,282771,139128,143643,225822,0.492016508057757,0.798603817223124,35.385227,-120.44754,106790,82514
82,California,San Mateo,762488,382862,379626,349707,0.5021220006085342,0.4586393490782806,37.414664,-122.371542,264892,136837
83,California,Santa Barbara,447651,222637,225014,294936,0.49734502994520285,0.6588525436109827,34.537378,-120.038485,147446,84356
84,California,Santa Clara,1932022,948198,983824,754027,0.4907801256921505,0.3902786821268081,37.220777,-121.690622,646847,140258
85,California,Santa Cruz,272138,136707,135431,186503,0.5023443987976688,0.6853250924163475,37.012488,-122.007205,96476,96093
86,California,Shasta,181935,91994,89941,151465,0.5056421249347295,0.8325226042267843,40.760522,-122.04355,71314,61937
87,California,Sierra,3079,1638,1441,2776,0.5319909061383566,0.9015914257875933,39.576925,-120.521993,1151,56152
88,California,Siskiyou,44151,21933,22218,36110,0.4967724400353333,0.8178750198183506,41.587986,-122.533287,18598,49857
89,California,Solano,451432,225553,225879,218893,0.49963892679296107,0.4848858742844991,38.267226,-121.939594,153632,89648
90,California,Sonoma,492498,250600,241898,346482,0.5088345536428575,0.7035196082014546,38.532574,-122.945194,188841,91607
91,California,Stanislaus,550842,276477,274365,356790,0.5019170651475378,0.6477174943087128,37.562384,-121.002656,175067,68368
92,California,Sutter,99080,49302,49778,57951,0.4975979006863141,0.5848909971740008,39.035257,-121.702758,32703,67003
93,California,Tehama,65345,32815,32530,52668,0.5021807330323667,0.805998928762721,40.126156,-122.232276,24551,52901
94,California,Trinity,15818,7739,8079,13034,0.48925275003160956,0.8239979769882413,40.647724,-123.114404,5492,42206
95,California,Tulare,470999,234574,236425,279500,0.498035027675218,0.5934195189374075,36.230453,-118.780542,139631,57394
96,California,Tuolumne,55243,26488,28755,47151,0.4794815632749851,0.8535199029741325,38.021451,-119.964708,23103,66846
97,California,Ventura,845255,424655,420600,592773,0.5023986844206778,0.7012948755109405,34.358742,-119.133143,274471,94150
98,California,Yolo,216703,111335,105368,137091,0.5137676912640803,0.6326216065305972,38.679268,-121.903178,75471,78386
99,California,Yuba,80404,39703,40701,55657,0.49379384110243274,0.6922168051340729,39.270026,-121.34428,26888,62666
100,Colorado,Adams,514969,253612,261357,365720,0.4924801298718952,0.7101786709491251,39.874325,-104.331872,176880,78304
101,Colorado,Alamosa,16377,8107,8270,11965,0.4950235085791048,0.7305977895829517,37.568442,-105.788041,6327,46217
102,Colorado,Arapahoe,651621,326671,324950,437618,0.5013205528980803,0.6715836352726509,39.644632,-104.331733,247251,84947
103,Colorado,Archuleta,13267,6557,6710,10664,0.49423381322077337,0.8037988995251376,37.202395,-107.050863,5770,62907
104,Colorado,Baca,3519,1779,1740,3210,0.505541346973572,0.9121909633418585,37.303144,-102.535457,1594,39891
105,Colorado,Bent,5861,2209,3652,4467,0.37689814024910423,0.7621566285616789,37.931891,-103.077584,1805,40972
106,Colorado,Boulder,328713,162573,166140,279046,0.494574294293198,0.8489046675975699,40.094826,-105.398382,131701,92466
107,Colorado,Broomfield,72697,36206,36491,60366,0.4980398090705256,0.8303781449028158,39.953383,-105.052125,29487,107570
108,Colorado,Chaffee,19436,9362,10074,17880,0.4816834739658366,0.9199423749742746,38.738246,-106.316972,8539,61216
109,Colorado,Cheyenne,1691,832,859,1490,0.4920165582495565,0.8811354228267297,38.835387,-102.604585,695,69063
110,Colorado,Clear Creek,9427,4648,4779,8684,0.4930518722817439,0.9211838336692479,39.689403,-105.670791,4427,76313
111,Colorado,Conejos,7579,3759,3820,5651,0.4959757223908167,0.7456128776883494,37.213407,-106.176447,3097,38536
112,Colorado,Costilla,3517,1648,1869,2453,0.4685811771396076,0.6974694341768553,37.277547,-105.42894,1446,35000
113,Colorado,Crowley,6018,1979,4039,4528,0.32884679295446995,0.7524094383516118,38.321956,-103.787562,1340,37870
114,Colorado,Custer,4720,2472,2248,4470,0.523728813559322,0.9470338983050848,38.101994,-105.373515,2124,59877
115,Colorado,Delta,31133,15469,15664,28539,0.49686827482092955,0.9166800501076029,38.861756,-107.864757,12143,51803
116,Colorado,Denver,706799,351034,355765,486538,0.49665322107133714,0.6883682631129925,39.761849,-104.880625,313926,78177
117,Colorado,Dolores,2288,1025,1263,1954,0.44798951048951047,0.8540209790209791,37.747602,-108.530383,1144,62500
118,Colorado,Douglas,351929,175050,176879,301642,0.49740146449994177,0.8571103830602196,39.326435,-104.926199,127921,127443
119,Colorado,Eagle,55693,25914,29779,45327,0.4653008457077191,0.8138724794857523,39.630638,-106.692944,19511,91338
120,Colorado,Elbert,25897,12758,13139,23148,0.4926439355909951,0.8938487083445958,39.310817,-104.117928,9261,114904
121,Colorado,El Paso,722736,356095,366641,550813,0.49270411325850655,0.7621219919860087,38.827383,-104.527472,270178,75909
122,Colorado,Fremont,49007,20370,28637,43510,0.41565490644193687,0.8878323504805435,38.455658,-105.421438,17510,53411
123,Colorado,Garfield,61221,29830,31391,49354,0.4872511066464122,0.8061612845265513,39.599352,-107.90978,21707,77212
124,Colorado,Gilpin,5812,2738,3074,5374,0.4710942876806607,0.9246386785960082,39.861082,-105.528947,2791,96784
125,Colorado,Grand,15629,7274,8355,13978,0.4654168532855589,0.8943630430609764,40.123289,-106.095876,5841,69353
126,Colorado,Gunnison,16851,7589,9262,15609,0.4503590291377366,0.9262951753605128,38.669679,-107.078108,7100,63341
127,Colorado,Hinsdale,858,469,389,766,0.5466200466200466,0.8927738927738927,37.811625,-107.383405,442,45714
128,Colorado,Huerfano,6787,3317,3470,5986,0.48872845145130395,0.8819802563724768,37.687815,-104.959928,2744,45724
129,Colorado,Jackson,1375,635,740,1331,0.4618181818181818,0.968,40.663432,-106.329248,632,44667
130,Colorado,Jefferson,580130,288867,291263,499171,0.4979349456156379,0.8604467964077017,39.58646,-105.245601,236499,93933
131,Colorado,Kiowa,1414,723,691,1372,0.5113154172560113,0.9702970297029703,38.388466,-102.75621,584,45476
132,Colorado,Kit Carson,7071,3434,3637,6071,0.485645594682506,0.8585772875123745,39.30534,-102.603023,2964,52917
133,Colorado,Lake,7417,3536,3881,5865,0.4767426183092895,0.790750977484158,39.204316,-106.349696,2795,73099
134,Colorado,La Plata,55673,27671,28002,47635,0.4970272843209455,0.8556212167477951,37.287367,-107.839718,22266,75089
135,Colorado,Larimer,354670,177185,177485,311544,0.4995770716440635,0.8784052781458821,40.663091,-105.482131,145175,80664
136,Colorado,Las Animas,14531,6884,7647,11113,0.47374578487371827,0.7647787488817012,37.318831,-104.04411,6410,45118
137,Colorado,Lincoln,5630,2360,3270,4977,0.4191829484902309,0.8840142095914743,38.99374,-103.507555,1812,46894
138,Colorado,Logan,21765,9648,12117,18250,0.44328049620951065,0.8385021824029405,40.728091,-103.090464,7928,50998
139,Colorado,Mesa,154685,77868,76817,138360,0.5033972266218444,0.894462940815205,39.019492,-108.461837,61977,62127
140,Colorado,Mineral,794,416,378,728,0.5239294710327456,0.9168765743073047,37.651478,-106.9323,386,55556
141,Colorado,Moffat,13240,6530,6710,11500,0.493202416918429,0.8685800604229608,40.573984,-108.204521,5121,58583
142,Colorado,Montezuma,25916,12961,12955,20520,0.5001157586047229,0.7917888563049853,37.338025,-108.595786,10461,58335
143,Colorado,Montrose,42328,21135,21193,37249,0.4993148743148743,0.880008505008505,38.413427,-108.263042,16840,57225
144,Colorado,Morgan,28868,13980,14888,21591,0.48427324373008174,0.7479215740612443,40.262354,-103.807092,10601,62914
145,Colorado,Otero,18665,9545,9120,15123,0.5113849450843825,0.8102330565229038,37.88417,-103.72126,7618,45826
146,Colorado,Ouray,4850,2405,2445,4494,0.49587628865979383,0.9265979381443299,38.1506,-107.767133,2204,67228
147,Colorado,Park,17384,8215,9169,16128,0.4725609756097561,0.9277496548550391,39.118914,-105.717648,7169,77775
148,Colorado,Phillips,4497,2212,2285,3862,0.49188347787413833,0.8587947520569268,40.594712,-102.345105,1715,50951
149,Colorado,Pitkin,17471,8133,9338,15369,0.46551428080819646,0.8796863373590521,39.217533,-106.915943,7202,92708
150,Colorado,Prowers,11966,5871,6095,9808,0.490640147083403,0.8196556911248537,37.958181,-102.392161,4421,44984
151,Colorado,Pueblo,167453,84600,82853,131458,0.5052163890763378,0.7850441616453572,38.170658,-104.489893,66442,53430
152,Colorado,Rio Blanco,6495,3154,3341,5705,0.48560431100846807,0.8783679753656659,39.972606,-108.200685,2488,58239
153,Colorado,Rio Grande,11476,5413,6063,8957,0.47168002788428026,0.7804984315092367,37.485763,-106.453214,4616,50287
154,Colorado,Routt,24899,11927,12972,22266,0.47901522149483916,0.8942527812361942,40.48316,-106.985289,10094,83725
155,Colorado,Saguache,6369,3146,3223,5436,0.4939550949913644,0.8535091851154027,38.033952,-106.246675,2877,48413
156,Colorado,San Juan,698,321,377,648,0.45988538681948427,0.9283667621776505,37.781075,-107.670257,326,63333
157,Colorado,San Miguel,8084,3699,4385,7535,0.4575705096486888,0.9320880752102919,38.009374,-108.427326,3594,70965
